INF,MEAN,SUP
1295.753044,1296.830342,1297.907639
1295.880968,1296.978278,1298.075589
1296.762725,1297.546974,1298.331224
1295.597540,1296.562326,1297.527112
1296.568992,1297.734114,1298.899236
1295.859793,1296.722284,1297.584774
1296.544356,1297.397506,1298.250655
1297.096566,1297.882128,1298.667690
1296.432973,1297.310809,1298.188645
1295.881076,1297.000385,1298.119694
1296.275539,1297.213575,1298.151611
1295.978632,1296.689554,1297.400477
1296.237789,1297.313051,1298.388314
1296.074414,1296.996718,1297.919022
1296.552199,1297.317423,1298.082647
1296.964420,1297.666398,1298.368376
1296.249563,1296.954139,1297.658716
1296.276308,1297.063156,1297.850004
1295.788403,1296.489750,1297.191096
1296.593968,1297.517617,1298.441265
1296.650264,1297.294271,1297.938277
1295.774397,1296.594475,1297.414553
1294.883548,1296.487973,1298.092398
1294.102571,1295.446403,1296.790235
1296.228846,1297.170366,1298.111886
1295.851836,1296.611501,1297.371166
1296.363266,1297.858887,1299.354508
1297.615234,1298.635735,1299.656236
1296.390487,1297.536894,1298.683301
1295.588443,1296.550831,1297.513219
1295.781204,1296.798244,1297.815284
1296.747793,1297.658345,1298.568898
1296.773210,1297.529496,1298.285782
1295.325757,1296.570316,1297.814874
1296.497447,1297.601437,1298.705427
1296.260323,1297.276047,1298.291770
1295.916798,1296.881229,1297.845659
1296.996700,1297.944863,1298.893026
1296.883693,1297.458788,1298.033883
1296.058193,1296.973904,1297.889615
1295.532067,1296.451880,1297.371692
1297.996599,1298.809506,1299.622413
1296.582796,1297.872330,1299.161863
1296.215033,1297.422274,1298.629515
1296.084270,1296.865468,1297.646666
1296.094044,1297.369546,1298.645048
1296.742600,1297.602066,1298.461532
1294.671025,1296.106559,1297.542092
1296.635505,1297.505657,1298.375808
1296.432121,1297.520409,1298.608698
1296.731353,1297.468280,1298.205208
1295.729703,1297.062098,1298.394493
1297.717400,1298.795275,1299.873151
1295.563577,1296.423704,1297.283831
1296.785298,1297.741019,1298.696740
1295.605693,1296.870362,1298.135031
1296.019892,1297.214443,1298.408995
1295.776330,1296.573617,1297.370904
1296.707740,1297.806249,1298.904757
1296.974045,1297.989865,1299.005686
1296.310115,1297.218089,1298.126063
1295.433411,1296.705627,1297.977842
1295.713787,1296.641991,1297.570196
1296.111356,1296.824870,1297.538383
1297.302328,1298.306468,1299.310608
1296.195654,1297.172986,1298.150318
1297.200101,1298.461766,1299.723432
1296.437924,1297.545641,1298.653359
1296.360450,1297.436761,1298.513072
1295.694799,1296.832634,1297.970469
1295.987394,1296.992576,1297.997758
1297.493472,1298.408917,1299.324363
1296.023721,1296.837195,1297.650668
1296.103646,1296.998356,1297.893065
1297.042049,1298.000091,1298.958133
1295.367650,1296.139386,1296.911121
1295.547295,1296.184587,1296.821878
1295.900408,1296.899345,1297.898282
1296.311472,1297.028842,1297.746212
1296.058212,1297.288390,1298.518569
1296.466811,1297.085048,1297.703285
1295.924799,1296.936884,1297.948968
1296.969945,1297.765126,1298.560306
1296.834688,1297.486192,1298.137696
1295.563295,1296.512794,1297.462294
1296.115609,1296.786379,1297.457149
1294.691402,1295.688446,1296.685490
1297.222088,1298.144003,1299.065918
1297.592266,1298.246970,1298.901674
1296.536375,1297.571103,1298.605831
1296.287145,1297.138032,1297.988919
1296.432553,1297.279206,1298.125859
1296.076595,1296.776808,1297.477021
1295.978888,1296.905848,1297.832807
1295.527018,1296.750230,1297.973441
1295.951615,1296.865386,1297.779156
1294.925910,1295.881020,1296.836131
1296.200030,1297.421882,1298.643734
1296.985775,1297.652307,1298.318839
1296.257370,1297.027504,1297.797638
1296.185157,1297.035764,1297.886372
1295.280896,1296.267031,1297.253167
1295.937392,1296.810814,1297.684237
1296.667678,1297.347478,1298.027279
1295.651804,1296.638756,1297.625709
1297.722126,1298.920796,1300.119466
1296.351293,1297.163235,1297.975176
1296.911807,1298.003071,1299.094335
1296.702982,1297.701923,1298.700865
1295.860814,1296.715229,1297.569644
1296.780312,1297.989875,1299.199438
1296.309563,1296.997503,1297.685442
1295.752511,1296.833752,1297.914993
1296.487725,1297.321138,1298.154551
1295.924370,1296.551707,1297.179043
1296.234802,1296.932369,1297.629936
1295.741819,1296.668947,1297.596075
1297.086660,1297.844797,1298.602934
1295.419490,1296.170343,1296.921196
1296.443080,1297.269283,1298.095486
1297.921507,1298.797342,1299.673177
1296.109324,1296.826321,1297.543318
1296.025070,1297.132279,1298.239487
1296.668164,1297.686791,1298.705419
1295.223304,1296.031194,1296.839083
1296.841451,1297.919849,1298.998247
1295.553030,1296.210348,1296.867665
1296.663679,1297.459123,1298.254566
1295.736734,1296.353212,1296.969690
1296.768391,1297.796819,1298.825247
1297.618339,1298.378081,1299.137822
1295.739234,1296.553808,1297.368381
1296.688915,1297.489423,1298.289931
1294.662785,1295.852856,1297.042927
1295.804530,1296.702160,1297.599790
1295.937687,1296.599572,1297.261457
1297.309953,1298.325802,1299.341651
1296.231812,1297.256400,1298.280988
1295.731181,1296.994581,1298.257981
1295.992065,1297.085182,1298.178300
1295.121063,1296.244787,1297.368511
1295.983409,1296.721931,1297.460452
1296.468138,1297.179592,1297.891046
1296.445764,1297.224283,1298.002802
1296.868321,1297.840071,1298.811822
1295.491637,1296.279239,1297.066841
1295.913824,1296.641541,1297.369258
1294.975843,1295.856135,1296.736426
1296.305838,1296.949085,1297.592333
1297.098375,1298.038185,1298.977994
1296.397433,1297.121945,1297.846456
1295.501289,1296.402727,1297.304165
1295.495430,1296.653701,1297.811973
1296.862703,1297.493993,1298.125283
1296.327911,1296.979679,1297.631446
1296.728808,1297.605296,1298.481783
1296.216765,1297.019762,1297.822758
1295.173755,1296.379704,1297.585654
1297.103378,1297.986485,1298.869592
1295.834054,1297.190752,1298.547450
1296.265141,1296.894336,1297.523532
1296.631154,1297.745016,1298.858877
1295.680634,1296.714380,1297.748126
1296.531792,1297.213620,1297.895448
1295.461586,1296.349416,1297.237246
1295.933780,1296.785681,1297.637582
1296.764177,1297.547199,1298.330220
1296.561036,1297.649404,1298.737771
1296.334769,1296.947021,1297.559272
1297.133760,1297.730096,1298.326432
1295.836787,1296.637079,1297.437371
1296.976263,1298.185274,1299.394285
1295.381628,1296.315633,1297.249638
1295.845469,1296.756760,1297.668051
1296.538928,1297.468720,1298.398512
1297.175256,1298.225089,1299.274922
1296.660035,1297.357442,1298.054849
1295.332973,1296.178428,1297.023883
1296.263075,1296.778581,1297.294088
1295.506415,1296.515623,1297.524832
1297.256758,1297.993750,1298.730743
1295.707494,1296.804244,1297.900995
1296.085426,1297.100564,1298.115702
1296.599270,1297.726119,1298.852969
1296.523782,1297.300102,1298.076422
1295.874387,1296.840170,1297.805952
1295.976262,1297.144663,1298.313064
1296.516982,1297.392784,1298.268586
1296.651078,1297.991532,1299.331986
1295.723460,1297.081820,1298.440179
1296.660540,1297.709124,1298.757708
1294.829628,1295.860980,1296.892332
1296.461644,1297.433911,1298.406178
1296.029844,1296.908315,1297.786787
1296.259615,1297.028591,1297.797566
1297.001412,1297.727063,1298.452714
1297.044667,1298.027684,1299.010702
1294.702304,1295.514015,1296.325725
1298.143887,1298.916731,1299.689574
1295.294970,1296.636585,1297.978201
1296.391494,1297.180505,1297.969515
1295.487730,1296.523661,1297.559592
1296.240621,1297.049884,1297.859146
1295.070944,1296.107972,1297.145000
1295.660588,1296.523081,1297.385575
1297.497824,1298.237243,1298.976662
1296.091226,1297.040629,1297.990032
1296.528699,1297.406791,1298.284882
1296.831221,1298.419574,1300.007928
1295.648081,1296.341753,1297.035425
1296.466884,1297.142503,1297.818121
1296.611453,1297.376771,1298.142088
1296.118240,1297.401625,1298.685010
1296.207259,1297.169665,1298.132070
1297.035647,1297.665463,1298.295278
1296.063255,1297.105227,1298.147198
1296.505526,1297.138444,1297.771363
1295.462879,1296.316751,1297.170623
1296.054185,1297.115734,1298.177283
1296.201816,1296.961319,1297.720821
1295.821696,1296.981604,1298.141513
1297.138571,1297.998777,1298.858983
1296.649748,1297.551681,1298.453613
1295.573259,1296.473416,1297.373574
1295.890071,1296.891336,1297.892602
1297.766078,1298.599824,1299.433569
1296.332115,1297.184331,1298.036548
1295.821843,1296.743609,1297.665375
1295.724425,1296.831135,1297.937845
1295.311672,1296.090776,1296.869880
1297.087565,1297.999589,1298.911613
1296.626596,1297.471571,1298.316546
